Site,Number
287G OFFICER BARNSTABLE COUNTY,1
"62A DISTRICT COURT PROBATION, WYOMING, MI",1
ABINGTON POLICE DEPARTMENT,9
AMESBURY DISTRICT COURT,1
ATD MA STATE,218
ATTELBORO POLICE DEPT,1
ATTLEBORO DISTRICT COURT,2
AYER DISTRICT COURT,3
BARNSTABLE COUNTY HOC,3
BARNSTABLE COUNTY LOCAL POLICE DEPT,1
BARNSTABLE DISTRICT COURT,1
BERKSHIRE COUNTY LOCAL POLICE DEPT,1
"BOI GENERAL AREA, NON-SPECIFIC",1
"BOS GENERAL AREA, NON-SPECIFIC",2
BOSTON DISTRICT COURT DOWNTOWN BOSTON,4
BOSTON DISTRICT COURT EAST BOSTON,2
BOSTON DISTRICT COURT ROXBURY,2
"BOSTON ICE OFFICE - JFK FEDERAL BLDG, BOSTON",25
BOSTON LOGAN AIRPORT,25
BOSTON MUNICIPAL COURT,3
"BOSTON PD DORCHESTER, SOUTH BOSTON",3
"BOSTON PD DOWNTOWN,CHINA TOWN, CHARLESTOWN,E.BOS.",7
"BOSTON PD N.DORCHESTER,MATTAPAN,ROXBURY, MISSION HILL",4
BOSTON POLICE SECURE COMMUNITIES,1
BOSTON SUPERIOR COURT DOWNTOWN,1
BRAINTREE POLICE DEPARTMENT,2
BRIGHTON POLICE DEPT,1
BRISTOL COUNTY HOC,5
BROCKTON DISTRICT COURT,8
BROCKTON POLICE DEPT,4
BROOKLINE DISTRICT COURT,1
BROOKLINE POLICE DEPT,1
BUFFALO FEDERAL DETENTION FACILITY,4
CAMBRIDGE DISTRICT COURT,1
"CARVER COUNTY JAIL, MN",1
CASS COUNTY SHERIFFS OFFICE MISSOURI,1
CHARLESTOWN DISTRICT COURT,2
CHELSEA DISTRICT COURT,20
CHELSEA POLICE DEPT,5
CLINTON POLICE DEPT,1
DALLAS COUNTY GENERAL AREA,1
"DEARBORN, MI",1
DEDHAM DISTRICT COURT,4
DENVER COUNTY,1
DO NOT USE,1
DORCHESTER DISTRICT COURT,12
DUDLEY DISTRICT COURT,1
EAST BOSTON DISTRICT COURT,5
"EPC GENERAL AREA, NON-SPECIFIC",1
ESSEX COUNTY HOC,43
FALL RIVER DISTRICT COURT,4
FALL RIVER POLICE DEPT,2
FALMOUTH DISTRICT COURT,2
FEDERAL MEDICAL CENTER-DEVENS,32
FITCHBURG DISTRICT COURT,3
"FOS GENERAL AREA, NON-SPECIFIC",4
FRAMIGNHAM POLICE DEPT,10
FRAMINGHAM DISTRICT COURT,21
FUG OPS CT,1
FUGITIVE OPERATIONS CT,8
FUGITIVE OPERATIONS MA,3487
FUGITIVE OPERATIONS ME,1
GLOUCESTER DISTRICT COURT,2
HAMPDEN COUNTY HOC,3
"HAR GENERAL AREA, NON-SPECIFIC",6
"HARTFORD, CT",3
HAVERHILL DISTRICT COURT,1
HAVERHILL POLICE DEPT,1
HILLSBOROUGH COUNTY NH,2
HINGHAM POLICE DEPT,2
HOLYOKE DISTRICT COURT,1
LAWRENCE DISTRICT COURT,15
LAWRENCE POLICE DEPT,21
LEOMINSTER POLICE DEPT,1
LOWELL DISTRICT COURT,10
LOWELL POLICE DEPT,7
LYNN DISTRICT COURT,30
LYNN POLICE DEPARTMENT,13
MALDEN DISTRICT COURT,14
MALDEN POLICE DEPT,6
MANCHESTER ICE OFFICE,4
MARLBOROUGH DISTRICT COURT,3
MARLBOROUGH POLICE DEPT,1
MASSACHUSETTS TREATMENT CENTER,9
MCI FRAMINGHAM,2
MCI NORFOLK,13
MCI SHIRLEY MEDIUM/MAXIMUM,12
"MDM GENERAL AREA, NON-SPECIFIC",3
MERRIMACK COUNTY DOC,1
MERRIMACK COUNTY NH,1
MIDDLESEX COUNTY HOC,17
MIDDLESEX COUNTY LOCAL PD,5
MIDDLESEX SUPERIOR COURT,1
MILFORD DISTRICT COURT,3
MILFORD POLICE DEPT,10
NASHUA STREET JAIL,11
NCCI GARDNER,14
NEW BEDFORD DISTRICT COURT,5
NEW BEDFORD POLICE DEPT,4
NEWBURYPORT DISTRICT COURT,1
NEWTON DISTRICT COURT,1
NEWTON POLICE DEPT,1
NON-DETAINED AND JUVENILE,165
NORFOLK COUNTY HOC,3
NORTHAMPTON POLICE DEPT,1
OLD COLONY CORRECTIONAL,3
"OLDHAM COUNTY JAIL, KY",1
PEABODY DISTRICT COURT,4
PEABODY POLICE DEPT,5
PLYMOUTH COUNTY HOC,14
PLYMOUTH DISTRICT COURT,5
PRO FUGOPS,5
QUINCY POLICE DEPARTMENT,2
REVERE POLICE DEPT,10
"SLC GENERAL AREA, NON-SPECIFIC",1
"SNA GENERAL AREA, NON-SPECIFIC",1
"SPR GENERAL AREA, NON-SPECIFIC",1
SUFFOLK COUNTY SO (SOUTH BAY),8
TAUNTON DISTRICT COURT,1
TAUNTON POLICE DEPT,1
TEWSBURY POLICE DEPT,2
US DISTRICT COURT,148
"USCIS BOSTON, MA",2
UXBRIDGE DISTRICT COURT,1
"VAN BUREN COUNTY JAIL, PAW PAW, MI",1
WALTHAM DISTRICT COURT,21
WALTHAM POLICE DEPT,8
WESTBOROUGH DISTRICT COURT,2
WEYMOUTH POLICE DEPARTMENT,1
WOBURN DISTRICT COURT,24
WOBURN POLICE DEPT,1
WORCESTER COUNTY HOC,8
WORCESTER DISTRICT COURT,7
WORCESTER POLICE DEPT,3
WRENTHAM DISTRICT COURT,1
WRENTHAM POLICE DEPT,5
